Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
0,Midhat Azhar Durrani,Azhar Durrani,H# 447 St. # 5  Air port coloney PSH,14-4-74,A-Level,26-8-94,A,C
1,Mouhammed Abdul Rafay Kazmi,Iffan Kazmi,H#  169 s#  0 University coloney PSH,13-12-74,A-Level,13-8-94,A,C
2,Ajab Khan,Sahir Fazal Khan,ho. #  484 street #  95 Buliyan wali Sawat,13-9-76,Fsc,17-8-94,A,C
3,Moeen Minhas,Chodhary Zakir Minhas,House No. 31 street #  91 Industrial estate Peshawar,15-9-76,F.Sc.,20-8-94,A,C
4,Samina Niazi,Sahibzada Javed Niazi,Ho. # 345 S# 86  Afindi road psh,16-6-76,Fsc,23-8-94,A,C
5,Ijaz Bashir,Bashir Muneer,house no.660 St. No.49   Sawat,18-2-76,F.Sc.,26-8-94,A,C
6,Yawar Karam Illahi Awan,Furqan Awan,h no.206 St. No.45  Lane 3 Khybar road PESHAWAR,18-2-75,HSSC,1-8-94,A,C
7,Manahil Baqir Abuzar Haq,Baqir Abuzar Haq,Ho. No.521 s no.40  Bakra mandi Noshera,20-11-75,A level,4-8-94,A,C
8,Sheikh Muaz Awan,Kashif Ali Awan,H No.835 street no.3  Jalabad Abbotabad,22-7-75,HSSC,7-8-94,A,C
9,Bakht Namani,Momd. Barkat Namani,house # 382 St. no.98  Jamurd  town peshawar,22-8-74,FSc,11-8-94,A,C
10,Ghosia Najum,Najum Yosaf,h#  697 St. #  94 Lohi pura Hasanabdal,25-4-74,A-Level,14-8-94,A,C
11,Najam Namani,Abdul Haseeb Namani,House #  11 Street No. 89 Industrial estate peshawar,25-1-74,FSc,17-8-94,A,C
12,Saroor Pervaiz Kazmi,Rahid Kazmi,H#  558 Street No. 52 Afindi road PSH,27-1-74,A-Level,20-8-94,A,C
13,Hayyat Qureshi,Sohail Mujahid Qureshi,ho. #  872 street #  48 Khumar road Sawat,27-9-76,Fsc,24-8-94,A,C
14,Choudhary Mukhtar Khanzada,Nawabzada Abdul Jabbar Khanzada,House No. 187 S#  43 Lane 3 Khybar road Peshawar,29-6-76,F.Sc.,27-8-94,A,C
15,Mahpara Mouhammed Sharif Niazi,Mouhammed Sharif Niazi,Ho. #  501 S#  38 Industrial estate psh,29-6-76,Fsc,1-8-94,A,C
16,Uhad Qaisar,Qaisar AAdil,house no.48 Street # 2  Landi Sawat,3-3-76,F.Sc.,4-8-94,A,C
17,Osman Rai,Rai Tipo,h no.363 s no.97  Bhatta Haripur,3-11-75,HSSC,8-8-94,A,C
18,Bilqees Rahid Zaidi,Rahid Zaidi,Ho. No.677 s no.92  Lane 3 Khybar road Psh,5-11-75,A level,11-8-94,A,C
19,Mohammed Kashif Sherazi,Hamid Sherazi,H No.224 St. no.88  Industrial estate PESHAWAR,7-8-75,HSSC,14-8-94,A,C
20,M. Fazal Zaidi,Jabbar Saroor Zaidi,Ho. no.538 St. # 51  Karnianwala Haripur,7-4-75,A level,17-8-94,A,C
21,Shafaq Kharasani,Agha Sharif Kharasani,h# 853 S No.46  Jamurd  town PSH,9-5-74,A-Level,21-8-94,A,C
22,Rahid Najam,Najam Haseeb,House #  399 Street No. 42 Factory road Attock,10-1-74,FSc,24-8-94,A,C
