SID,St_Name,Father_Name,Gender,Address,Date of Birth,Reg Date,Reg Status,Degree Status,Last Degree
3600,Talha Abdul kareem,Abdul kareem Raza,0,h no.179 s no.42  Chandi bazar Gujrat,1-Nov-84,21-Aug-03,A,I,HSSC
3601,Sidra Haq,Rizwan Haq,1,Ho. No.493 street no.37  Mujahid block Faisalabad,1-Jul-84,24-Aug-03,A,I,A level
3602,Muhammad Shahid Sehti,Sana Ullah Bakht Sehti,0,H# 40 St. # 33  Chittian hattian Bhawalpur,3-Apr-83,28-Aug-03,A,I,A-Level
3603,Adul Qudoos Haq,Yousaf Annan Haq,0,house #  354 St. #  96 Odean chowk Jehlum,4-Apr-83,2-Aug-03,A,I,FSc
3604,Nirma Baig,Rana Tipu Baig,1,h#  669 Street No. 91 Kamra chowk Abdul Hakim,6-Jan-83,5-Aug-03,A,I,A-Level
3605,Jamil Anjum,Anjum Abid,0,Ho. #  216 street #  87 Mitran walia Dera ghazi khan,6-Sep-85,9-Aug-03,A,I,Fsc
3606,Kashaf Alam,Alam Faisal,1,house no. 530 street #  82 Chand mari Multan,8-Sep-85,12-Aug-03,A,I,F.Sc.
3607,Tahir Ismaili,Aun Ismaili,0,ho. #  845 S#  45 Basti LalaMusa,10-Jun-85,15-Aug-03,A,I,Fsc
3608,Ahsan Niazi,Mazhar Ehsan Niazi,0,House No. 159 St. No. 41 Khumar road Sialkot,10-Feb-85,18-Aug-03,A,I,F.Sc.
3609,Midhat Haqq,Sheik Tipu Haqq,1,H No.706 Street # 36  Purani Taal Pindi Bhatian,13-Mar-84,22-Aug-03,A,I,HSSC
3610,Rasheed Awan,Aga Jan Awan,0,Ho. no.20 s no.31  City Road Kharian,13-Nov-84,25-Aug-03,A,I,A level
3611,Farooq Kareem,Kareem Arif,0,h no.335 St. no.95  Kusar coloney Bahawalpur,15-Aug-84,28-Aug-03,A,I,HSSC
3612,Bushra Sherazi,Aslam Sherazi,1,Ho. No.882 St. no.90  Bhatta Dera ghazi khan,15-Aug-84,2-Aug-03,A,I,A level
3613,Sahibzada Zamir Namani,Nadeem Mukhtar Namani,0,H# 196 St. # 85  Bunkhar gali Gujrawala,17-Apr-83,6-Aug-03,A,I,A-Level
3614,Sarwar Sherazi,Najeeb Saleem Sherazi,0,house #  511 Street No. 80 Eid gha Wazirabad,18-Jan-83,9-Aug-03,A,I,FSc
3615,Bushra Qureshi,Choudhary Mustansar Qureshi,1,h#  57 Street No. 44 Sihaal Sargodha,20-Jan-83,12-Aug-03,A,I,A-Level
3616,Abdul Haseeb Faizan,Faizan AAmer,0,House #  372 st. #  39 Noorpur Pindi Bhatian,20-Oct-83,15-Aug-03,A,I,FSc
3617,Kiran Munir Usmani,Munir Usmani,1,house no. 686 S#  34 College road Shekhopura,22-Jun-85,19-Aug-03,A,I,F.Sc.
3618,Asif Khanzada,Abdul Malik Khanzada,0,ho. #  233 St. No. 98 Malik abad Melsi,24-Feb-85,22-Aug-03,A,I,Fsc
3619,Aga Abdul Qadeer Hussaini,Rafi Yaseen Hussaini,0,House No. 548 Street #  93 Nai abadi D.I. Khan,24-Mar-85,25-Aug-03,A,I,F.Sc.
3620,Nafia Ismaili,Syyed Atif Ismaili,1,H No.862 s no.88  Karki Gujrat,27-Nov-84,29-Aug-03,A,I,HSSC
3621,Amjad Sabir Hussaini,Mohammad Sammi Hussaini,0,Ho. no.409 St. no.84  Koral Faisalabad,27-Aug-84,3-Aug-03,A,I,A level
3622,Rai Ahmed,Ahmed Abdul kareem,0,h no.723 St. no.47  Daniyaal town Sahiwal,29-Aug-84,6-Aug-03,A,I,HSSC
3623,Zunera Paracha,Shams Paracha,1,Ho. No.38 St. # 42  Haider road Kabirwala,29-Apr-84,9-Aug-03,A,I,A level
3624,Immad Haque,Jamil AAmir Haque,0,H# 584 Street No.38  Byaar Abdul Hakim,2-Jan-83,13-Aug-03,A,I,A-Level
3625,Imran Adil Sherazi,Anwar Najam Sherazi,0,house # 899 Street No.33  Doley shah D.G. Khan,2-Jan-83,16-Aug-03,A,I,FSc
3626,Sonia Zaidi,Sahibzada Abdullah Zaidi,1,h#  214 st. #  96 Railway line Dera Ismail Khan,5-Oct-83,19-Aug-03,A,I,A-Level
3627,Sameer Noor,Noor Faisal,0,House #  528 S#  92 Farooqia Gujrat,5-Jun-83,22-Aug-03,A,I,FSc
3628,Sumreen Saaleh Usmani,Saaleh Usmani,1,house no. 75 S#  87 Kotlia Sialkot,7-Jun-85,26-Aug-03,A,I,F.Sc.
3629,M. Zaran Kharasani,Mazhar Kharasani,0,ho. #  389 Street #  82 Saidpur road Bhawalpur,9-Mar-85,29-Aug-03,A,I,Fsc
3630,Sahibzada Shahzor Usmani,Kamran Zishan Usmani,0,House No. 704 s no. 45 Chittian hattian Jehlum,9-Nov-85,3-Aug-03,A,I,F.Sc.
3631,Tayyaba Muhammad Saeed Laghari,Muhammad Saeed Laghari,1,Ho. #  251 s#  41 Odean chowk Abdul Hakim,11-Dec-85,6-Aug-03,A,I,Fsc
3632,Anwar Malik,Malik Muzammil,0,Ho. no.565 St. no.36  Farman block Dera ghazi khan,12-Aug-84,10-Aug-03,A,I,A level
3633,Tahir Sattar,Sattar Aslam,0,h no.880 St. # 99  Mitran walia Multan,14-Apr-84,13-Aug-03,A,I,HSSC
