SID,St_Name,Father_Name,Gender,Address,Date of Birth,Reg Date,Reg Status,Degree Status,Last Degree
400,Abdul Basit Baig,Choudhary Faisal Baig,0,House No. 917 Street #  38 Kachi abadi Gujrat,22-Mar-81,11-Aug-03,A,C,BS
401,Najia Raja Aun Chohan,Raja Aun Chohan,1,H No.231 s no.33  Pakistan hostel Sialkot,25-Nov-80,15-Aug-03,A,C,MS
402,Saroor Abdur Rahim,Abdur Rahim Mazhar,0,Ho. no.546 s no.29  Dhamiyal Bhawalpur,25-Nov-80,18-Aug-03,A,C,M.Sc
403,Rana Nabeel Khan,Tipu Khan,0,h no.92 St. no.24  Dehri Jehlum,27-Aug-80,21-Aug-03,A,C,MS
404,Iman Jaffery,Jan Kaleem Jaffery,1,Ho. No.407 St. # 87  Park road Abdul Hakim,27-Apr-80,24-Aug-03,A,C,M.Sc
405,Mustafa Khan,Muzammil Mudassir Khan,0,H# 721 S No.83  Cantt. road Dera ghazi khan,29-May-79,28-Aug-03,A,C,M.Phil
406,Mouhammad Daniyal Jaffery,Aga Aslam Jaffery,0,house # 268 Street No.78  Landi Multan,29-Jan-79,2-Aug-03,A,C,BE
407,Suryya Abdul Haseeb,Abdul Haseeb Jabir,1,h#  583 street #  41 Taj abad LalaMusa,3-Sep-79,5-Aug-03,A,C,M.Phil
408,Munir Bashir,Bashir Najeeb,0,House #  897 st. #  37 Nizam pur Sialkot,5-Oct-79,8-Aug-03,A,C,BE
409,Samra Khattak,Mustansar Khattak,1,house no. 444 S#  32 Jalsa gha Pindi Bhatian,5-Jun-81,12-Aug-03,A,C,BS
410,Sahibzada Fakhar Haq,AAmer Viqar Haq,0,ho. #  758 Street #  27 Karnianwala Kharian,7-Mar-81,15-Aug-03,A,C,MSc
411,Abdul Rafay Sehti,Mirza Munir Sehti,0,House No. 73 Street #  91 Karimabad Bahawalpur,7-Mar-81,18-Aug-03,A,C,BS
412,Ronaq Haq,Mouhammad Abdul Malik Haq,1,H No. 387 s no. 86 Factory road D.I. Khan,9-Nov-80,22-Aug-03,A,C,MS
413,Rasheed AAdil,AAdil Rafi,0,Ho. no.934 St. no.81  Garrizon Gujrawala,10-Aug-80,25-Aug-03,A,C,M.Sc
414,Abdul Ahad Ibrahim Chatta,Yasin Chatta,0,h no.249 St. no.77  Ramzania Wazirabad,12-Aug-80,28-Aug-03,A,C,MS
415,Jaleela Sammi AAdil Kiyyani,Sammi AAdil Kiyyani,1,Ho. No.563 S No.40  Bara bazar Sargodha,12-May-80,2-Aug-03,A,C,M.Sc
416,Nawabzada Rasheed Khan,Abdul Ahad Akram Khan,0,H# 110 Street No.35  Bara qabrustan Kabirwala,14-Jan-79,6-Aug-03,A,C,M.Phil
417,Ijaz Kazmi,Mohammad Shams Kazmi,0,house # 424 St. No.30  Niazi town Shekhopura,14-Feb-79,9-Aug-03,A,C,BE
418,Kausar Nazir,Nazir Osama,1,h#  739 st. #  26 Shuakat coloney Melsi,17-Oct-79,12-Aug-03,A,C,M.Phil
419,Kamal Minhas,Anwar Minhas,0,House #  285 S#  89 Mutian wala D.I. Khan,19-Jun-79,15-Aug-03,A,C,BE
420,Sana Niazi,Muazzum Niazi,1,house no. 600 street no. 84 Buliyan wali Gujrat,19-Jul-81,19-Aug-03,A,C,BS
