Reg#,Name,Father,Address,Date of Birth,lastDeg,Reg Date,Reg Status,Deg Status
0,Badar Rana Qutab-ud-Din Sehti,Rana Qutab-ud-Din Sehti,Ho. #  998 street #  8 Afindi road psh,28-9-79,MSc,28-8-01,A,C
1,AAmer Hussain,Hussain Rasheed,H#  169 s#  0 Mutian wala Mardan,13-12-77,M.Phil,13-8-01,A,C
2,Momd. Imtiaz Paracha,Karam Paracha,ho. #  484 street #  95 Lane 3 Khybar road psh,13-9-79,MSc,17-8-01,A,C
3,Ghazi Haque,Zameer Haque,House No. 31 street #  91 Industrial estate Peshawar,15-9-79,BS,20-8-01,A,C
4,Nosheen Butt,Viqar-ul-Islam Athar Butt,Ho. # 345 S# 86  Cement factory coloney Gilgit,16-6-79,MSc,23-8-01,A,C
5,Ali Zaidi,Mohammed Zil-e-Ali Zaidi,house no.660 St. No.49  University coloney Peshawar,18-2-79,BS,26-8-01,A,C
6,Sana Ullah Affan,Affan Daud,h no.206 St. No.45  Mujahid block Haripur,18-2-78,MS,1-8-01,A,C
7,Sidra Kaleem,Kaleem Abdul Qadeer,Ho. No.521 s no.40  Bakra mandi Noshera,20-11-78,M.Sc,4-8-01,A,C
8,Farzan Kharasani,Bulbul Kharasani,H No.835 street no.3  Afindi road PESHAWAR,22-7-78,MS,7-8-01,A,C
9,Mustansar Ansary,Shahid Sajid Ansary,house # 382 St. no.98  Kamra chowk Mardan,22-8-77,BE,11-8-01,A,C
10,Najma Mohammad Munir Laghari,Mohammad Munir Laghari,h#  697 St. #  94 Lane 3 Khybar road PSH,25-4-77,M.Phil,14-8-01,A,C
11,Abdul Wasay Bhatti,Aga Imran Bhatti,House #  11 Street No. 89 Industrial estate peshawar,25-1-77,BE,17-8-01,A,C
12,Zulqur nain Sajid,Sajid Zishan,H#  558 Street No. 52 Dhamiyal Mardan,27-1-77,M.Phil,20-8-01,A,C
13,Babar Sameer Pasha,Rizwan Pasha,ho. #  872 street #  48 Jamurd  town psh,27-9-79,MSc,24-8-01,A,C
14,Rohail Shah,Noor Shah,House No. 187 S#  43 Lane 3 Khybar road Peshawar,29-6-79,BS,27-8-01,A,C
15,Amber Pasha,Yousaf Sattar Pasha,Ho. #  501 S#  38 Cantt. road Gilgit,29-6-79,MSc,1-8-01,A,C
16,Mustansar Akram Abbasi,Choudhary Tipu Abbasi,house no.48 Street # 2  Afindi road Peshawar,3-3-79,BS,4-8-01,A,C
17,Mudassir Haseeb,Haseeb Abid,h no.363 s no.97  Bhatta Haripur,3-11-78,MS,8-8-01,A,C
18,Khushbakht Ajab,Ajab Arif,Ho. No.677 s no.92  Shakrial Noshera,5-11-78,M.Sc,11-8-01,A,C
19,Mirza Munir Gondal,Jabbar Gondal,H No.224 St. no.88  Industrial estate PESHAWAR,7-8-78,MS,14-8-01,A,C
20,Mustamsir Ansary,Sameer Nazir Ansary,Ho. no.538 St. # 51  Karnianwala Haripur,7-4-78,M.Sc,17-8-01,A,C
21,Kaneez Fatima Gondal,Sheikh Najum Gondal,h# 853 S No.46  Jamurd  town PSH,9-5-77,M.Phil,21-8-01,A,C
22,Abdul Hannan Bhatti,Aga Emmad-ud-Din Bhatti,House #  399 Street No. 42 Lane 3 Khybar road peshawar,10-1-77,BE,24-8-01,A,C
